ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
7650,18.59001103,19.06548273,18.11453933,-3.5519554,-3.076483702,-4.027427098,-0.766496984,-0.035444976
7700,18.60856309,19.08403479,18.13309139,-3.58578156,-3.110309862,-4.061253258,-0.748150599,-0.080769365
7750,18.64974168,19.12521338,18.17426998,-3.481317411,-3.005845713,-3.956789109,-0.694435709,0.171892083
7800,18.65088397,19.12635567,18.17541227,-3.521565077,-3.046093379,-3.997036775,-0.761502995,0.115537492
7850,18.6283651,19.1038368,18.1528934,-3.647149235,-3.171677537,-4.122620933,-0.806537642,-0.043209492
7900,18.62034893,19.09582063,18.14487723,-3.767747062,-3.292275364,-4.24321876,-0.840526601,-0.382626382
7950,18.61262162,19.08809332,18.13714992,-3.883596385,-3.408124687,-4.359068083,-0.890196952,-0.543250827
8000,18.58871397,19.06418567,18.11324227,-3.975139646,-3.499667948,-4.450611344,-0.900783502,-0.529740378
8050,18.58247168,19.05794338,18.10699998,-4.023972764,-3.548501066,-4.499444462,-0.887564714,-0.477095564
8100,18.6153248,19.0907965,18.1398531,-3.93946721,-3.463995512,-4.414938908,-0.784103011,-0.216616739
8150,18.64742397,19.12289567,18.17195227,-3.871534028,-3.39606233,-4.347005726,-0.663950594,0.093956224
8200,18.66495945,19.14043115,18.18948775,-3.865899758,-3.39042806,-4.341371456,-0.617420822,0.171780606
8250,18.64833816,19.12380986,18.17286646,-3.871681319,-3.396209621,-4.347153017,-0.664149918,0.212162258
8300,18.62752001,19.10299171,18.15204831,-3.875278638,-3.39980694,-4.350750336,-0.699751481,0.406561941
8350,18.63311922,19.10859092,18.15764752,-3.907160066,-3.431688368,-4.382631764,-0.659226433,0.507835097
8400,18.64525568,19.12072738,18.16978398,-3.963081455,-3.487609757,-4.438553153,-0.605698773,0.413818415
8450,18.64562079,19.12109249,18.17014909,-3.991881456,-3.516409758,-4.467353154,-0.608385259,0.370285253
8500,18.62743645,19.10290815,18.15196475,-4.020144673,-3.544672975,-4.495616371,-0.632914713,0.413438846
8550,18.59608639,19.07155809,18.12061469,-4.050008665,-3.574536967,-4.525480363,-0.673206443,0.392549389
8600,18.57373914,19.04921084,18.09826744,-4.044335313,-3.568863615,-4.519807011,-0.683900002,0.541001488
8650,18.6257595,19.1012312,18.1502878,-3.921682081,-3.446210383,-4.397153779,-0.588014169,0.806366563
8700,18.68279823,19.15826993,18.20732653,-3.778283624,-3.302811926,-4.253755322,-0.492013381,1.021585279
