Age,Picea,P.diplo,P strobu,Pinus,Quercus,Betula,Tsuga,Fagus,Ambrosia,Artemisi,Aster,Poaceae,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Carya,Castanea,C.stolon,C.florida,Corylus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Platanus,Populus,Prunus,Salix,Sambucus,S.argen,Spirea,Tilia,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,SC0,Sporomie,Gelasino,Unknoun
11553,0.2,16,29.3,3.5,27.1,6,4.7,0,0,0.2,0.2,0,0.9,0.2,0,0.7,1.3,0,0.2,0,0.2,0,0,0.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4.4,0,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0.2,0,0,0
11741.5,0.7,4.9,35,6.3,29.2,7.9,3.5,0,0.5,0,0.2,0.2,0.9,0.5,0.2,0,2.3,1.6,0,0,0,0,0.7,0.5,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,2.8,0.2,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0.2,0,0,0
11912,0.6,11.1,45.8,5.1,20,5.3,1.7,0,0,0.4,0,0.2,0.8,0,0.2,0.2,0.6,0.2,0,0,0,0,0.4,0,0.6,0,0,0,1.5,0,0.2,0,0,0,0,0.2,0,0,0,0,3.6,0,0,0,0.2,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0.2,0,0,0
12081.5,1.9,13,48.4,1.5,8.2,14.1,0.7,0.2,0,0.2,0,0.7,3,0,0,0.4,2,0.6,0.4,0.2,0,0,0.2,0.4,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,1.7,0,0.2,0,0.4,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0,0,0.4,0,0,0.4,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0.2,0,0,0
12260.5,3.6,19.6,13.5,0.8,16.9,17.3,8.5,2,0.2,0.6,0.2,0,4.2,0,0.2,0.4,1,2,0.2,0,0,0,0.4,0.4,1.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3.2,0.8,0,0,0.2,0,0,0,0.2,1.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0,0,5.6,0,0,0,0,0.4,0.5,0,0,0.5,0,0,0.2,0,0.4,0,0.7,0,0,0,0,0,0,0.2,0,0,0
12535,12.4,33.1,9,2.5,1.3,24.8,1.9,0,0,0.2,0.6,0.4,5.1,0,0,0,2.5,3.4,0,0,0,0,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0.2,0.5,0,0,0,0.2,0,0,0,0,0,0,2.4,0,0,0,0.2,0,0.2,0,0,0,0
12781,19,30.4,9,0.4,2.6,13,1,0,0.4,0,0.2,1,9.8,0,0,0,5,4.4,0,0,0.2,0,0.2,0.2,0.4,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.6,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0.6,0,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0
13078.5,7.8,61,1.3,0.6,5,3.4,0.4,0,0.4,0.8,0.2,0.2,6.1,0,0,0.4,1.5,4,0.8,0,0,0,0.4,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,3.1,0.2,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,3.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0.4,0,0,0,0
13827,27.9,32.6,0.6,0.3,10.4,7.1,0.3,0.9,0.6,0,0.6,0.6,5.3,0,0,0.6,0.3,0.6,0.6,0,0,0,0.9,0.9,2.4,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,5.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14135.5,51.3,23.4,0.3,0,3.5,1.9,0,0,0.3,2.5,0.9,1.6,0.3,0,0,0.6,3.5,1.6,0.6,0,0,0,0,0,0.6,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.3,1.6,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,9.7,3.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,3.9,0,0,0,0.3,0,0,0,0,0,0,0
