Age,LakeElev.cm.below.mod,UpperBound,LowerBound,Lake_Level_Below_Modern
7550,-452.5411895,-321.7242442,-583.3581348,452.5411895
7600,-453.3880284,-321.9188725,-584.8571843,453.3880284
7650,-454.1717549,-322.1135007,-586.2300091,454.1717549
7700,-454.8898846,-322.308129,-587.4716401,454.8898846
7750,-455.6012395,-322.5027572,-588.6997219,455.6012395
7800,-456.353661,-322.6973855,-590.0099365,456.353661
7850,-468.4804938,-333.6615685,-603.2994192,468.4804938
7900,-480.6318231,-344.6319877,-616.6316584,480.6318231
7950,-481.4422599,-344.8260357,-618.058484,481.4422599
8000,-470.9246706,-334.2501774,-607.5991638,470.9246706
8050,-460.391888,-323.6677313,-597.1160447,460.391888
8100,-461.1979749,-323.8611373,-598.5348126,461.1979749
8150,-462.0012542,-324.0543688,-599.9481396,462.0012542
8200,-474.259185,-335.0621085,-613.4562615,474.259185
8250,-486.530846,-346.0763763,-626.9853156,486.530846
8300,-498.8261426,-357.0974638,-640.5548214,498.8261426
8350,-499.6875113,-357.3106884,-642.0643342,499.6875113
8400,-488.9941531,-346.6836611,-631.3046451,488.9941531
8450,-478.2862629,-336.0502662,-620.5222597,478.2862629
8500,-467.5537553,-325.4105775,-609.6969331,467.5537553
8550,-456.7465369,-314.7451397,-598.7479342,456.7465369
8600,-445.9202131,-304.0732884,-587.7671378,445.9202131
8650,-435.0733675,-293.3950946,-576.7516404,435.0733675
8700,-447.5179942,-304.4500534,-590.5859349,447.5179942
8750,-459.9804587,-315.5116771,-604.4492403,459.9804587
8800,-472.4685197,-326.5796446,-618.3573947,472.4685197
8850,-473.2824384,-326.7739256,-619.7909513,473.2824384
8900,-474.0868353,-326.9675032,-621.2061674,474.0868353
8950,-486.6860811,-338.0723402,-635.299822,486.6860811
9000,-499.308406,-349.1839304,-649.4328815,499.308406
9050,-511.9645867,-360.3025343,-663.6266391,511.9645867
9100,-500.9734108,-349.5851391,-652.3616826,500.9734108
9150,-489.9625311,-338.8615166,-641.0635455,489.9625311
9200,-478.9179174,-328.1309436,-629.7048912,478.9179174
9250,-479.7095032,-328.324583,-631.0944234,479.7095032
9300,-492.4636801,-339.4747211,-645.452639,492.4636801
9350,-505.2645098,-350.6328627,-659.8961569,505.2645098
9400,-518.1089888,-361.8065033,-674.4114743,518.1089888
9450,-519.0294533,-362.0386179,-676.0202886,519.0294533
9500,-519.9335263,-362.2781649,-677.5888876,519.9335263
