,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
539,1123,538,7,39,1123,11500,12025,12210,12344.25,12577.025,19.61821909
540,1124,539,7,40,1124,11543.375,12056.5,12234.5,12367,12591.05,19.61223251
541,1125,540,7,41,1125,11566.625,12089,12260.5,12386.25,12603.15,20.26446559
542,1126,541,7,42,1126,11587.9,12125,12289.5,12406,12617.05,20.58939096
543,1127,542,7,43,1127,11634.975,12161,12315.5,12428.5,12635,21.2161269
544,1128,543,7,44,1128,11691.95,12192.75,12341,12447.25,12652.125,22.43928079
545,1129,544,7,45,1129,11795.825,12234,12368,12471,12673,22.86144441
546,1130,545,7,46,1130,11911.825,12281,12400,12495,12698.1,23.35318889
547,1131,546,7,47,1131,12061.375,12324.75,12434,12529.25,12734.075,23.67072914
548,1132,547,7,48,1132,12199.7,12391,12482.5,12578,12791.25,24.16908085
549,1133,548,7,49,1133,12236.975,12440,12535,12646,12948.2,24.67858501
550,1134,549,7,50,1134,12261.975,12466,12567.5,12693,13092.2,25.48078184
551,1135,550,7,51,1135,12287.9,12489.5,12598.5,12734,13229.1,27.73410759
552,1136,551,7,52,1136,12298.95,12506.5,12621.5,12774,13316.025,28.2189647
553,1137,552,7,53,1137,12309.95,12523,12645,12809.25,13394.175,27.63099956
554,1138,553,7,54,1138,12321.875,12541,12666,12850,13439.925,26.76572511
555,1139,554,7,55,1139,12326.975,12559,12693,12884,13529.2,25.83747596
556,1140,555,7,56,1140,12335,12572.75,12714,12922,13575.475,25.62423357
557,1141,556,7,57,1141,12351.95,12587,12735.5,12949,13626.275,24.9202083
558,1142,557,7,58,1142,12370.975,12599,12758.5,12982.25,13697.15,24.49813341
559,1143,558,7,59,1143,12378.95,12610.75,12781,13015.75,13768.025,24.9109643
560,1144,559,7,60,1144,12389.9,12623,12802,13047.5,13836.175,25.59030746
561,1145,560,7,61,1145,12398.925,12639,12824.5,13085,13938,26.98170284
562,1146,561,7,62,1146,12408,12654,12845,13108.5,13963.075,27.45050218
563,1147,562,7,63,1147,12412.95,12664,12865,13136.5,13971.45,26.76756007
564,1148,563,7,64,1148,12415.9,12676.5,12883.5,13171,14023.75,25.74788919
565,1149,564,7,65,1149,12418.975,12688,12902,13208.25,14072.475,23.84563742
566,1150,565,7,66,1150,12428,12702.75,12922,13231.25,14149.175,21.90541467
567,1151,566,7,67,1151,12438,12719,12941,13252.25,14207.15,20.45674115
568,1152,567,7,68,1152,12447.95,12733,12961,13274.75,14237.275,19.97485835
569,1153,568,7,69,1153,12456.95,12743,12982,13300.5,14269.625,18.27281949
570,1154,569,7,70,1154,12463.95,12753.75,13004,13332.25,14289.75,17.67822055
571,1155,570,7,71,1155,12471.85,12768.75,13021,13368,14332.075,18.0001784
572,1156,571,7,72,1156,12477.775,12786.75,13035.5,13396.25,14345.1,17.49973771
573,1157,572,7,73,1157,12486.925,12806.75,13060,13417,14358.9,16.96798244
574,1158,573,7,74,1158,12493,12819.5,13078.5,13450.5,14424.95,16.04040523
575,1159,574,7,75,1159,12499.95,12838.75,13111.5,13482,14442.6,16.52340535
576,1160,575,7,76,1160,12504,12853.75,13130.5,13502.25,14460.225,17.24532364
577,1161,576,7,77,1161,12509.975,12863,13143.5,13525.25,14477.875,17.5516243
578,1162,577,7,78,1162,12514.975,12877,13163.5,13555,14539.975,17.28556986
579,1163,578,7,79,1163,12518.975,12886,13182,13589,14614.15,16.03974049
580,1164,579,7,80,1164,12523,12896,13204.5,13609.25,14623.5,15.0479263
581,1180,595,7,1,1180,12589.95,13123.75,13536.5,14030.5,15122.25,19.82631126
582,1181,596,8,2,1181,12593.975,13132.75,13549.5,14055,15141.025,15.38591084
583,1182,597,8,3,1182,12598.975,13147,13573.5,14079.25,15156.025,16.03819652
584,1183,598,8,4,1183,12604.9,13162,13596.5,14107.5,15195.425,14.31066675
585,1184,599,8,5,1184,12608.9,13182.75,13616.5,14136,15240.3,14.70532289
586,1185,600,8,6,1185,12613.95,13198.5,13635,14162.5,15301.275,17.03509208
587,1186,601,8,7,1186,12617.925,13213.25,13660,14188.5,15309.65,16.79080691
588,1187,602,8,8,1187,12621.9,13222,13675,14201.5,15400.375,17.71803195
589,1188,603,8,9,1188,12623.925,13249.5,13700,14221.75,15423.375,19.81230213
590,1189,604,8,10,1189,12630.9,13263.5,13715.5,14247,15446.35,20.98960589
591,1190,605,8,11,1190,12634.875,13272.75,13729.5,14281,15485.925,18.96373712
592,1191,606,8,12,1191,12639.825,13292.5,13747,14306,15582.05,16.55159319
593,1192,607,8,13,1192,12643.8,13303.75,13762,14337.25,15607.075,14.36776153
594,1193,608,8,14,1193,12647.85,13323,13787,14360,15631.55,13.85229478
595,1194,609,8,15,1194,12652.875,13337,13806,14384.25,15662.525,14.63355395
596,1195,610,8,16,1195,12656.9,13355.5,13827,14411,15713,15.13631012
597,1196,611,8,17,1196,12660.95,13371.75,13841,14424.75,15745.25,15.34113382
598,1197,612,8,18,1197,12668.925,13392.25,13866.5,14440,15763.25,14.55437008
599,1198,613,8,19,1198,12671.975,13409.5,13891.5,14469.25,15783.5,13.51025052
600,1199,614,8,20,1199,12678.95,13426.5,13917,14485.5,15809.425,13.42913568
601,1200,615,8,21,1200,12682.95,13442,13929,14513,15838,13.27070116
602,1201,616,8,22,1201,12687.9,13462.75,13953,14530,15875.225,12.71638813
603,1202,617,8,23,1202,12693.825,13479,13974.5,14554.5,15911,12.24091353
604,1203,618,8,24,1203,12699.775,13496.25,13994,14578.5,15951.075,12.55596897
605,1204,619,8,25,1204,12705.825,13510.75,14020.5,14612,15976.225,12.15416569
606,1205,620,8,26,1205,12711.875,13521.5,14037,14626.5,16004.1,10.29560526
607,1206,621,8,27,1206,12716.975,13535.5,14055,14649.75,16017.075,9.560581905
608,1207,622,8,28,1207,12724.95,13542,14069.5,14682.25,16082.225,8.406144307
609,1208,623,8,29,1208,12732.9,13560.25,14089,14707.25,16133.05,7.795678496
610,1209,624,8,30,1209,12736.95,13571.5,14110,14725.25,16165.125,8.310345974
611,1210,625,8,31,1210,12740.95,13592.25,14135.5,14741,16186.525,7.085832845
612,1211,626,8,32,1211,12746.875,13612,14150,14766.25,16246.125,6.892434778
613,1212,627,8,33,1212,12751.85,13627.75,14181,14786.25,16282.425,6.57763962
614,1213,628,8,34,1213,12758.975,13647.75,14202.5,14817.25,16347.75,6.172569097
615,1214,629,8,35,1214,12766.925,13657.5,14219,14836.5,16394.075,5.99870801
616,1215,630,8,36,1215,12771.95,13679.25,14243,14859.5,16411.325,6.072660473
617,1216,631,8,37,1216,12775.975,13690.75,14261,14885.25,16479.55,5.872705043
618,1217,632,8,38,1217,12781.9,13701.75,14277,14912.5,16509.2,5.960536837
619,1218,633,8,39,1218,12786.85,13713,14296,14936,16554.15,5.844705768
620,1219,634,8,40,1219,12791.775,13719,14319,14956.25,16614,5.511500813
621,1220,635,8,41,1220,12794.775,13737.75,14342,14974.5,16668.025,5.269627782
622,1221,636,8,42,1221,12796.8,13750.75,14358.5,15005,16684.025,5.088475384
623,1222,637,8,43,1222,12798.825,13760.75,14381.5,15039.25,16702.8,4.996584636
