Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P.strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun
834,834,834,4468,4817.25,5013.5,5284.25,5922.15,0,3,3,13,2,3,159,6,0,1,0,1,118,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,4,0,0,94,0,0,0,0,5,51,10,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
840,840,840,4507.9,4902.5,5127,5390.5,5989.125,0,2,1,14,1,0,99,15,2,0,0,1,99,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,5,0,0,86,0,0,0,0,8,121,8,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
849,849,849,4581.775,5047.5,5291.5,5548.75,6081.175,0,12,1,7,1,1,78,9,10,0,0,1,62,2,8,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,5,30,25,5,0,0,126,0,0,0,0,4,123,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,0,0,0
860,860,860,4697.9,5211.75,5483,5732.25,6204.05,0,6,0,9,6,2,80,7,2,0,0,0,94,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,7,6,0,1,77,0,0,0,0,1,172,10,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
870,870,870,4822.625,5394.75,5661,5899.5,6257.025,0,4,1,17,3,1,104,9,3,0,0,2,74,1,8,3,0,1,0,1,0,0,0,0,0,2,0,0,1,6,11,0,4,18,8,3,0,0,105,0,0,0,0,2,102,7,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0
880,880,880,4960.95,5559,5830.5,6054,6324.125,0,4,0,8,1,1,44,13,1,0,0,0,106,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,12,3,2,0,0,86,0,0,0,0,5,200,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
890,890,890,5130.975,5757.5,6013,6183.25,6389.05,0,5,2,12,2,0,89,3,1,0,0,0,110,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,10,6,1,0,0,120,0,0,0,0,8,114,6,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0
896,896,896,5297.55,5887.75,6118,6264.25,6427,0,0,2,15,3,0,55,2,0,0,0,1,86,2,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,3,5,0,7,0,0,139,0,0,0,0,3,127,8,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
904,904,904,5529.95,6102.75,6263,6363.25,6482,0,5,0,8,1,1,50,12,0,0,0,1,128,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,4,2,0,0,61,0,0,0,0,4,205,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
915,915,915,6312.675,6459,6493,6534,6652.025,0,0,0,10,4,1,78,10,1,0,0,1,105,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,3,4,0,0,75,0,0,0,0,4,173,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
920,920,920,6498.975,6582,6636,6733.5,7204.15,0,0,3,12,1,1,83,3,1,0,0,0,115,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,9,6,9,0,0,80,0,0,0,0,3,175,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
